"edge","parent","child","depth_start","depth_end","interval_length","value","color_bin","rate_for_flagging","rate_flag","rate_flag_source","is_near_zero","is_high_outlier","rate_category","mean","median","sd","q025","q975","highest_density_interval_low","highest_density_interval_high","n","ci_width","highest_density_interval_width","cv","clade_key","descendant_tips","descendant_examples"
74,93,128,8.066865,15.193495,7.12663,-19.7882324570944,1,2.54729848476631e-09,"near-zero","value",TRUE,FALSE,"near-zero",-19.7882324570944,-20.1356109642333,2.49500609234345,-23.1085070347873,-16.5663546758716,-23.4168050295921,-16.4066484489365,6,6.54215235891573,7.01015658065552,0.12608534378971,"Cryptolepis_grossi | Eusthenopteron_foordi | Eusthenopteron_jenkinsi | Eusthenopteron_saevesoederberghi | Gogonasus_andrewsae | Gyroptychius_groenlandicus | Gyroptychius_milleri | Hyneria_lindae | Jarvikina_wenjukowi | Kenichthys_campbelli | Koharalepis_jarviki | Latvius_grewingki | Latvius_sp | Litoptychus_bryanti | Medoevia_lata | Megalichthys_mullisoni | Osteolepis_sp | Panderichthys_sp | Platycephalichthys_bischoffi | Platycephalichthys_skuenicus | Polyplocodus_leptognathus | Spodichthys_buetleri | Thursius_estonicus | Tiktaalik_roseae | Tungsenia_paradoxa",25,"Cryptolepis grossi; Eusthenopteron foordi; ..."
75,128,129,15.193495,18.975833,3.782338,-21.2526861952824,1,5.88946248542587e-10,"near-zero","value",TRUE,FALSE,"near-zero",-21.2526861952824,-20.8397579537616,1.80054006901476,-24.2093941682974,-19.7720778168629,-24.5983428249452,-19.7375196112401,6,4.4373163514345,4.86082321370516,0.0847205879045275,"Cryptolepis_grossi | Eusthenopteron_foordi | Eusthenopteron_jenkinsi | Eusthenopteron_saevesoederberghi | Gogonasus_andrewsae | Gyroptychius_groenlandicus | Gyroptychius_milleri | Hyneria_lindae | Jarvikina_wenjukowi | Kenichthys_campbelli | Koharalepis_jarviki | Latvius_grewingki | Latvius_sp | Litoptychus_bryanti | Medoevia_lata | Megalichthys_mullisoni | Osteolepis_sp | Panderichthys_sp | Platycephalichthys_bischoffi | Platycephalichthys_skuenicus | Polyplocodus_leptognathus | Spodichthys_buetleri | Thursius_estonicus | Tiktaalik_roseae",24,"Cryptolepis grossi; Eusthenopteron foordi; ..."
122,128,64,15.193495,18.92835,3.734855,-21.2526861952824,1,5.88946248542587e-10,"near-zero","value",TRUE,FALSE,"near-zero",-21.2526861952824,-20.8397579537616,1.80054006901476,-24.2093941682974,-19.7720778168629,-24.5983428249452,-19.7375196112401,6,4.43731635143449,4.86082321370516,0.0847205879045275,"Tungsenia_paradoxa",1,"Tungsenia paradoxa"
76,129,130,18.975833,21.732632,2.756799,-21.2582031150953,1,5.85706025558862e-10,"near-zero","value",TRUE,FALSE,"near-zero",-21.2582031150953,-20.8397579537616,1.80145117969527,-24.2135318581571,-19.7720778168629,-24.5983428249452,-19.7375196112401,6,4.44145404129415,4.86082321370516,0.0847414605054775,"Cryptolepis_grossi | Eusthenopteron_foordi | Eusthenopteron_jenkinsi | Eusthenopteron_saevesoederberghi | Gogonasus_andrewsae | Gyroptychius_groenlandicus | Gyroptychius_milleri | Hyneria_lindae | Jarvikina_wenjukowi | Koharalepis_jarviki | Latvius_grewingki | Latvius_sp | Litoptychus_bryanti | Medoevia_lata | Megalichthys_mullisoni | Osteolepis_sp | Panderichthys_sp | Platycephalichthys_bischoffi | Platycephalichthys_skuenicus | Polyplocodus_leptognathus | Spodichthys_buetleri | Thursius_estonicus | Tiktaalik_roseae",23,"Cryptolepis grossi; Eusthenopteron foordi; ..."
77,130,131,21.732632,25.746798,4.014166,-21.2582031150953,1,5.85706025558862e-10,"near-zero","value",TRUE,FALSE,"near-zero",-21.2582031150953,-20.8397579537616,1.80145117969527,-24.2135318581571,-19.7720778168629,-24.5983428249452,-19.7375196112401,6,4.44145404129415,4.86082321370516,0.0847414605054775,"Cryptolepis_grossi | Eusthenopteron_foordi | Eusthenopteron_jenkinsi | Eusthenopteron_saevesoederberghi | Gogonasus_andrewsae | Gyroptychius_groenlandicus | Gyroptychius_milleri | Hyneria_lindae | Jarvikina_wenjukowi | Koharalepis_jarviki | Latvius_grewingki | Latvius_sp | Litoptychus_bryanti | Medoevia_lata | Megalichthys_mullisoni | Osteolepis_sp | Panderichthys_sp | Platycephalichthys_bischoffi | Platycephalichthys_skuenicus | Polyplocodus_leptognathus | Spodichthys_buetleri | Tiktaalik_roseae",22,"Cryptolepis grossi; Eusthenopteron foordi; ..."
79,139,140,27.512457,30.216945,2.704488,-21.2582031150953,1,5.85706025558862e-10,"near-zero","value",TRUE,FALSE,"near-zero",-21.2582031150953,-20.8397579537616,1.80145117969527,-24.2135318581571,-19.7720778168629,-24.5983428249452,-19.7375196112401,6,4.44145404129415,4.86082321370516,0.0847414605054775,"Eusthenopteron_foordi | Eusthenopteron_jenkinsi | Eusthenopteron_saevesoederberghi | Gyroptychius_groenlandicus | Gyroptychius_milleri | Hyneria_lindae | Jarvikina_wenjukowi | Panderichthys_sp | Platycephalichthys_bischoffi | Platycephalichthys_skuenicus | Polyplocodus_leptognathus | Spodichthys_buetleri | Tiktaalik_roseae",13,"Eusthenopteron foordi; Eusthenopteron jenkinsi; ..."
80,140,141,30.216945,33.266729,3.049784,-21.2582031150953,1,5.85706025558862e-10,"near-zero","value",TRUE,FALSE,"near-zero",-21.2582031150953,-20.8397579537616,1.80145117969527,-24.2135318581571,-19.7720778168629,-24.5983428249452,-19.7375196112401,6,4.44145404129415,4.86082321370516,0.0847414605054775,"Eusthenopteron_foordi | Eusthenopteron_jenkinsi | Eusthenopteron_saevesoederberghi | Hyneria_lindae | Jarvikina_wenjukowi | Panderichthys_sp | Platycephalichthys_bischoffi | Platycephalichthys_skuenicus | Polyplocodus_leptognathus | Spodichthys_buetleri | Tiktaalik_roseae",11,"Eusthenopteron foordi; Eusthenopteron jenkinsi; ..."
101,140,151,30.216945,37.398981,7.182036,-21.2582031150953,1,5.85706025558862e-10,"near-zero","value",TRUE,FALSE,"near-zero",-21.2582031150953,-20.8397579537616,1.80145117969527,-24.2135318581571,-19.7720778168629,-24.5983428249452,-19.7375196112401,6,4.44145404129415,4.86082321370516,0.0847414605054775,"Gyroptychius_groenlandicus | Gyroptychius_milleri",2,"Gyroptychius groenlandicus; Gyroptychius milleri"
103,151,60,37.398981,47.696931,10.29795,-21.2582031150953,1,5.85706025558862e-10,"near-zero","value",TRUE,FALSE,"near-zero",-21.2582031150953,-20.8397579537616,1.80145117969527,-24.2135318581571,-19.7720778168629,-24.5983428249452,-19.7375196112401,6,4.44145404129415,4.86082321370516,0.0847414605054775,"Gyroptychius_milleri",1,"Gyroptychius milleri"
104,139,61,27.512457,50.092387,22.57993,-21.2582031150953,1,5.85706025558862e-10,"near-zero","value",TRUE,FALSE,"near-zero",-21.2582031150953,-20.8397579537616,1.80145117969527,-24.2135318581571,-19.7720778168629,-24.5983428249452,-19.7375196112401,6,4.44145404129415,4.86082321370516,0.0847414605054775,"Koharalepis_jarviki",1,"Koharalepis jarviki"
