"edge","child","clade_key","value_equal","value_ic","difference","abs_difference","descendant_tips","descendant_examples"
101,151,"Gyroptychius_groenlandicus | Gyroptychius_milleri",-21.2582031150953,-21.6675565498079,-0.40935343471266,0.40935343471266,2,"Gyroptychius groenlandicus; Gyroptychius milleri"
103,60,"Gyroptychius_milleri",-21.2582031150953,-21.6675565498079,-0.40935343471266,0.40935343471266,1,"Gyroptychius milleri"
104,61,"Koharalepis_jarviki",-21.2582031150953,-21.6675565498079,-0.40935343471266,0.40935343471266,1,"Koharalepis jarviki"
105,132,"Cryptolepis_grossi | Gogonasus_andrewsae | Latvius_grewingki | Latvius_sp | Litoptychus_bryanti | Medoevia_lata | Megalichthys_mullisoni | Osteolepis_sp",-21.2582031150953,-21.6675565498079,-0.40935343471266,0.40935343471266,8,"Cryptolepis grossi; Gogonasus andrewsae; ..."
106,133,"Cryptolepis_grossi | Latvius_grewingki | Latvius_sp | Litoptychus_bryanti | Medoevia_lata | Megalichthys_mullisoni",-21.2582031150953,-21.6675565498079,-0.40935343471266,0.40935343471266,6,"Cryptolepis grossi; Latvius grewingki; ..."
107,134,"Cryptolepis_grossi | Litoptychus_bryanti | Medoevia_lata | Megalichthys_mullisoni",-21.2582031150953,-21.6675565498079,-0.40935343471266,0.40935343471266,4,"Cryptolepis grossi; Litoptychus bryanti; ..."
108,135,"Cryptolepis_grossi | Litoptychus_bryanti",-21.2582031150953,-21.6675565498079,-0.40935343471266,0.40935343471266,2,"Cryptolepis grossi; Litoptychus bryanti"
109,40,"Cryptolepis_grossi",-21.2582031150953,-21.6675565498079,-0.40935343471266,0.40935343471266,1,"Cryptolepis grossi"
110,41,"Litoptychus_bryanti",-21.2582031150953,-21.6675565498079,-0.40935343471266,0.40935343471266,1,"Litoptychus bryanti"
111,136,"Medoevia_lata | Megalichthys_mullisoni",-21.2582031150953,-21.6675565498079,-0.40935343471266,0.40935343471266,2,"Medoevia lata; Megalichthys mullisoni"
112,42,"Medoevia_lata",-21.2582031150953,-21.6675565498079,-0.40935343471266,0.40935343471266,1,"Medoevia lata"
113,43,"Megalichthys_mullisoni",-21.2582031150953,-21.6675565498079,-0.40935343471266,0.40935343471266,1,"Megalichthys mullisoni"
114,137,"Latvius_grewingki | Latvius_sp",-21.2582031150953,-21.6675565498079,-0.40935343471266,0.40935343471266,2,"Latvius grewingki; Latvius sp"
115,44,"Latvius_grewingki",-21.2582031150953,-21.6675565498079,-0.40935343471266,0.40935343471266,1,"Latvius grewingki"
116,45,"Latvius_sp",-21.2582031150953,-21.6675565498079,-0.40935343471266,0.40935343471266,1,"Latvius sp"
117,138,"Gogonasus_andrewsae | Osteolepis_sp",-21.2582031150953,-21.6675565498079,-0.40935343471266,0.40935343471266,2,"Gogonasus andrewsae; Osteolepis sp"
118,46,"Gogonasus_andrewsae",-21.2582031150953,-21.6675565498079,-0.40935343471266,0.40935343471266,1,"Gogonasus andrewsae"
119,47,"Osteolepis_sp",-21.2582031150953,-21.6675565498079,-0.40935343471266,0.40935343471266,1,"Osteolepis sp"
121,63,"Kenichthys_campbelli",-21.2582031150953,-21.6675565498079,-0.40935343471266,0.40935343471266,1,"Kenichthys campbelli"
78,139,"Eusthenopteron_foordi | Eusthenopteron_jenkinsi | Eusthenopteron_saevesoederberghi | Gyroptychius_groenlandicus | Gyroptychius_milleri | Hyneria_lindae | Jarvikina_wenjukowi | Koharalepis_jarviki | Panderichthys_sp | Platycephalichthys_bischoffi | Platycephalichthys_skuenicus | Polyplocodus_leptognathus | Spodichthys_buetleri | Tiktaalik_roseae",-21.2582031150953,-21.6675565498079,-0.409353434712656,0.409353434712656,14,"Eusthenopteron foordi; Eusthenopteron jenkinsi; ..."
102,59,"Gyroptychius_groenlandicus",-21.2582031150953,-21.6675565498079,-0.409353434712656,0.409353434712656,1,"Gyroptychius groenlandicus"
75,129,"Cryptolepis_grossi | Eusthenopteron_foordi | Eusthenopteron_jenkinsi | Eusthenopteron_saevesoederberghi | Gogonasus_andrewsae | Gyroptychius_groenlandicus | Gyroptychius_milleri | Hyneria_lindae | Jarvikina_wenjukowi | Kenichthys_campbelli | Koharalepis_jarviki | Latvius_grewingki | Latvius_sp | Litoptychus_bryanti | Medoevia_lata | Megalichthys_mullisoni | Osteolepis_sp | Panderichthys_sp | Platycephalichthys_bischoffi | Platycephalichthys_skuenicus | Polyplocodus_leptognathus | Spodichthys_buetleri | Thursius_estonicus | Tiktaalik_roseae",-21.2526861952824,-21.6360431946854,-0.383356999402952,0.383356999402952,24,"Cryptolepis grossi; Eusthenopteron foordi; ..."
122,64,"Tungsenia_paradoxa",-21.2526861952824,-21.6360431946854,-0.383356999402952,0.383356999402952,1,"Tungsenia paradoxa"
48,39,"Youngolepis_praecursor",-16.0093980854179,-15.681511383321,0.327886702096936,0.327886702096936,1,"Youngolepis praecursor"
7,108,"Cathlorhynchus_trismodipterus | Chirodipterus_australis | Chirodipterus_wildungensis | Diabolepis_speratus | Dipnorhynchus_cathlesae | Dipnorhynchus_kurikae | Dipnorhynchus_sussmilchi | Dipterus_valenciennesi | Griphognathus_sculpta | Griphognathus_whitei | Holodipterus_gogoensis | Holodipterus_santacrucensis | Iowadipterus_halli | Orlovichthys_limnatis | Pillararhynchus_longi | Rhinodipterus_kimberleyensis | Rhinodipterus_ulrichi | Rhynchodipterus_elginensis | Robinsondipterus_longi | Speonesydrion_iani | Uranolophus_wyomingensis",-16.0093980854179,-15.681511383321,0.327886702096935,0.327886702096935,21,"Cathlorhynchus trismodipterus; Chirodipterus australis; ..."
62,11,"Laccognathus_embryi",-16.0086110958155,-15.7145212471429,0.29408984867265,0.29408984867265,1,"Laccognathus embryi"
63,12,"Quebecius_quebecensis",-16.0086110958155,-15.7145212471429,0.29408984867265,0.29408984867265,1,"Quebecius quebecensis"
69,14,"Durialepis_edentatus",-16.0086110958155,-15.7145212471429,0.29408984867265,0.29408984867265,1,"Durialepis edentatus"
